data,confirmados,ativos,recuperados,obitos,novos
2020-03-17,0,0,0,0,0
2020-03-18,1,0,0,0,1
2020-03-19,2,0,0,0,1
2020-03-20,2,0,0,0,0
2020-03-21,3,0,0,0,1
2020-03-22,3,0,0,0,0
2020-03-23,4,0,0,0,1
2020-03-24,4,0,0,0,0
2020-03-25,5,0,0,0,1
2020-03-26,5,0,0,2,0
2020-03-27,9,0,0,2,4
2020-03-28,10,0,0,2,3
2020-03-29,12,0,0,2,3
2020-03-30,16,0,0,2,4
2020-03-31,16,0,0,2,0
2020-04-01,19,0,0,2,3
2020-04-02,22,0,0,2,3
2020-04-03,25,0,0,2,3
2020-04-04,31,0,0,2,6
2020-04-05,33,0,0,2,2
2020-04-06,38,0,0,2,5
2020-04-07,39,0,0,2,1
2020-04-08,42,0,0,2,3
2020-04-09,44,0,0,3,2
2020-04-10,45,0,0,4,1
2020-04-11,46,0,0,4,1
2020-04-12,47,0,0,4,1
2020-04-13,49,0,0,5,2
2020-04-14,50,13,32,5,1
2020-04-15,51,12,34,5,1
2020-04-16,51,6,40,5,0
2020-04-17,52,7,40,5,1
2020-04-18,52,7,40,5,0
2020-04-19,53,6,42,5,1
2020-04-20,54,6,43,5,1
2020-04-21,54,6,43,5,0
2020-04-22,57,9,43,5,3
2020-04-23,61,10,46,5,4
2020-04-24,64,12,47,5,3
2020-04-25,65,12,48,5,1
2020-04-26,71,16,50,5,6
2020-04-27,71,15,51,5,0
2020-04-28,75,16,54,5,4
2020-04-29,79,18,56,5,4
2020-04-30,87,26,56,5,8
2020-05-01,95,34,56,5,8
2020-05-02,99,38,56,5,4
2020-05-03,101,35,61,5,2
2020-05-04,101,34,62,5,0
2020-05-05,102,26,71,5,1
2020-05-06,106,27,74,5,4
2020-05-07,110,25,79,6,4
2020-05-08,110,21,83,6,0
2020-05-09,111,22,83,6,1
2020-05-10,112,21,85,6,1
2020-05-11,114,22,86,6,2
2020-05-12,119,24,89,6,5
2020-05-13,124,22,96,6,5
2020-05-14,129,27,96,6,5
2020-05-15,132,29,97,6,3
2020-05-16,152,49,97,6,20
2020-05-17,160,57,97,6,8
2020-05-18,183,74,103,6,23
2020-05-19,189,80,103,6,6
2020-05-20,208,94,108,6,19
2020-05-21,213,99,108,6,5
2020-05-22,236,119,111,6,23
2020-05-23,250,125,119,6,14
2020-05-24,271,146,119,6,21
2020-05-25,282,143,133,6,11
2020-05-26,304,159,139,6,22
2020-05-27,320,172,142,6,16
2020-05-28,328,180,142,6,8
2020-05-29,347,174,167,6,19
2020-05-30,358,170,180,8,11
2020-05-31,371,176,187,8,13
2020-06-01,379,170,201,8,8
2020-06-02,395,156,231,8,16
2020-06-03,429,181,239,9,34
2020-06-04,440,188,243,9,11
2020-06-05,493,221,262,10,53
2020-06-06,505,226,268,11,12
2020-06-07,519,229,279,11,14
2020-06-08,538,239,288,11,19
2020-06-09,595,257,327,11,57
2020-06-10,643,300,332,11,48
2020-06-11,695,347,337,11,52
2020-06-12,741,343,387,11,46
2020-06-13,768,369,388,11,27
2020-06-14,791,380,400,11,23
2020-06-15,850,406,433,11,59
2020-06-16,895,430,454,11,45
2020-06-17,922,347,564,11,27
2020-06-18,968,368,588,12,46
2020-06-19,1028,412,604,12,60
2020-06-20,1079,450,616,13,51
2020-06-21,1113,471,629,13,34
2020-06-22,1154,464,677,13,41
2020-06-23,1219,477,729,13,65
2020-06-24,1278,475,788,15,59
2020-06-25,1322,499,808,15,44
2020-06-26,1359,474,869,16,37
2020-06-27,1422,516,890,16,63
2020-06-28,1447,538,893,16,25
2020-06-29,1493,487,988,18,46
2020-06-30,1520,471,1031,18,27
2020-07-01,1559,450,1091,18,39
2020-07-02,1617,446,1153,18,58
2020-07-03,1674,470,1186,18,57
2020-07-04,1757,514,1225,18,83
2020-07-05,1848,582,1247,19,91
2020-07-06,1912,603,1290,19,64
2020-07-07,1979,611,1348,20,67
2020-07-08,2043,568,1450,25,64
2020-07-09,2084,577,1481,26,41
2020-07-10,2121,576,1516,29,37
2020-07-11,2183,614,1540,29,62
2020-07-12,2216,646,1541,29,33
2020-07-13,2271,699,1541,31,55
2020-07-14,2342,700,1610,32,71
2020-07-15,2410,622,1755,33,68
2020-07-16,2456,570,1853,33,46
2020-07-17,2518,555,1928,35,62
2020-07-18,2590,572,1982,36,72
2020-07-19,2693,641,2012,36,103
2020-07-20,2733,656,2040,37,44
2020-07-21,2822,663,2120,39,88
2020-07-22,2891,662,2189,40,69
2020-07-23,2998,693,2264,41,107
2020-07-24,3065,674,2349,42,67
2020-07-25,3156,764,2431,43,91
2020-07-26,3192,682,2466,44,40
2020-07-27,3244,699,2496,49,52
2020-07-28,3314,694,2569,51,70
2020-07-29,3402,727,2623,52,88
2020-07-30,3465,679,2732,54,63
2020-07-31,3538,730,2754,54,78
2020-08-01,3595,715,2825,55,57
2020-08-02,3639,706,2878,55,44
2020-08-03,3714,694,2965,55,75
2020-08-04,3813,653,3103,57,99
2020-08-05,3892,679,3154,59,82
2020-08-06,3985,720,3203,62,93
2020-08-07,4058,667,3328,63,75
2020-08-08,4089,654,3371,64,31
2020-08-09,4133,677,3392,64,44
2020-08-10,4237,744,3426,67,106
2020-08-11,4367,777,3522,68,130
2020-08-12,4430,791,3569,70,63
2020-08-13,4510,793,3647,70,80
2020-08-14,4603,789,3742,72,93
2020-08-15,4639,730,3835,74,36
2020-08-16,4681,719,3887,75,42
2020-08-17,4758,719,3965,74,82
2020-08-18,4867,760,4032,75,109
2020-08-19,4969,824,4069,76,103
2020-08-20,5110,840,4191,79,143
2020-08-21,5218,843,4294,81,108
2020-08-22,5277,840,4353,84,59
2020-08-23,5329,882,4361,86,52
2020-08-24,5441,950,4404,87,112
2020-08-25,5587,968,4530,89,146
2020-08-26,5633,916,4625,92,46
2020-08-27,5712,928,4690,94,79
2020-08-28,5819,911,4812,96,107
2020-08-29,5886,938,4852,96,67
2020-08-30,5943,934,4910,99,57
2020-08-31,6009,984,4924,101,70
2020-09-01,6068,810,5154,104,59
2020-09-02,6195,768,5322,105,127
2020-09-03,6305,719,5479,107,110
2020-09-04,6393,660,5622,111,88
2020-09-05,6442,599,5728,115,49
2020-09-06,6517,668,5733,116,75
2020-09-07,6564,685,5763,116,47
2020-09-08,6635,655,5863,117,72
2020-09-09,6719,618,5984,117,84
2020-09-10,6842,610,6113,119,124
2020-09-11,6918,626,6169,123,76
2020-09-12,6975,563,6287,125,57
2020-09-13,7016,590,6300,126,41
2020-09-14,7046,585,6335,126,30
2020-09-15,7108,467,6515,126,62
2020-09-16,7196,443,6626,127,88
2020-09-17,7264,441,6696,127,69
2020-09-18,7339,469,6743,127,75
2020-09-19,7368,438,6803,127,29
2020-09-20,7403,467,6809,127,35
2020-09-21,7512,542,6843,127,109
2020-09-22,7628,504,6994,130,116
2020-09-23,7683,498,7054,131,55
2020-09-24,7759,542,7086,131,82
2020-09-25,7841,621,7088,132,82
2020-09-26,7941,691,7117,133,100
2020-09-27,8015,764,7118,133,74
2020-09-28,8074,814,7125,135,62
2020-09-29,8166,878,7151,137,92
2020-09-30,8295,998,7158,139,129
2020-10-01,8380,1071,7168,141,84
2020-10-02,8434,1112,7180,142,54
2020-10-03,8478,1155,7181,142,44
2020-10-04,8508,1082,7284,142,30
2020-10-05,8547,966,7438,143,39
2020-10-06,8657,1001,7512,144,110
2020-10-07,8747,902,7700,145,90
2020-10-08,8852,903,7803,146,105
